,word,polarity,sentiment
711,acoroçoar-se,vb,1
712,acoroçoar,vb,0
713,acorrentada,adj,-1
714,acorrentadas,adj,-1
715,acorrentado,adj,-1
716,acorrentados,adj,-1
717,acorrentar-se,vb,1
718,acorrentar,vb,1
719,acorrer,vb,0
720,acossada,adj,-1
721,acossadas,adj,-1
722,acossado,adj,-1
723,acossados,adj,-1
724,acossar,vb,0
725,acostar,vb,0
726,acostumada,adj,0
727,acostumadas,adj,0
728,acostumado,adj,0
729,acostumados,adj,0
730,acostumar-se,vb,1
731,acostumar,vb,1
732,acotar,vb,1
733,acotovelar,vb,0
734,acouçar,vb,1
735,açougueira,adj,-1
736,açougueiras,adj,-1
737,açougueiro,adj,-1
738,açougueiros,adj,-1
739,açoutar,vb,0
740,acoutar,vb,-1
741,acovardar,vb,1
742,acovar,vb,0
743,acravar,vb,0
744,acre,adj,-1
745,acreditada,adj,1
746,acreditadas,adj,1
747,acreditado,adj,1
748,acreditados,adj,1
749,acreditar,vb,0
750,acreditáveis,adj,0
751,acreditável,adj,0
752,acres,adj,-1
753,acrescentada,adj,1
754,acrescentadas,adj,1
755,acrescentado,adj,1
756,acrescentados,adj,1
757,acrescentar,vb,1
758,acrescer,vb,1
759,acriançada,adj,-1
760,acriançadas,adj,-1
761,acriançado,adj,-1
762,acriançados,adj,-1
763,acrimônia,adj,-1
764,acrimoniar,vb,1
765,acrisolada,adj,0
766,acrisoladas,adj,0
767,acrisolado,adj,0
768,acrisolados,adj,0
769,acrisolar,vb,0
770,acrítica,adj,-1
771,acríticas,adj,-1
772,acrítico,adj,-1
773,acríticos,adj,-1
774,activa,adj,1
775,activas,adj,1
776,activo,adj,1
777,activos,adj,1
778,actualista,adj,0
779,actualistas,adj,0
780,açucarada,adj,-1
781,açucaradas,adj,-1
782,açucarado,adj,-1
783,açucarados,adj,-1
784,acudir,vb,0
785,açular,vb,0
786,aculturada,adj,-1
787,aculturadas,adj,-1
788,aculturado,adj,-1
789,aculturados,adj,-1
790,acuminado,adj,1
791,acumular,vb,0
792,acurada,adj,1
793,acuradas,adj,1
794,acurado,adj,1
795,acurados,adj,1
796,acurar,vb,0
797,acurtar,vb,-1
798,acurvar,vb,0
799,acusada,adj,-1
800,acusadas,adj,-1
801,acusado,adj,-1
802,acusados,adj,-1
803,acusar,vb,0
804,acutilante,adj,-1
805,acutilantes,adj,-1
806,acutíssima,adj,0
807,acutíssimas,adj,0
808,acutíssimo,adj,0
809,acutíssimos,adj,0
810,adâmica,adj,-1
811,adâmicas,adj,-1
812,adâmico,adj,-1
813,adâmicos,adj,-1
814,adaptada,adj,0
815,adaptadas,adj,0
816,adaptado,adj,0
817,adaptados,adj,0
818,adaptar-se,vb,1
819,adaptar,vb,0
820,adaptáveis,adj,1
821,adaptável,adj,1
822,adargar,vb,1
823,adejar,vb,0
824,adelgaçar,vb,-1
825,adelgadar,vb,-1
